address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS (block)","Full FIPS (tract)","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code","County Subdivision Name","County Subdivision FIPS","County Subdivision Class Code","County Subdivision Class Description"
"3839 AIRPORT BLVD Austin TX 78722",30.288934,-97.706801,1,rooftop,"3839 Airport Blvd",,"Austin, TX 78722",3839,"Airport Blvd",,,Austin,TX,"Travis County",78722,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000309,2009,2,484530003092009,48453000309,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5511 CAMERON ROAD Austin TX 78723",30.312773,-97.705019,1,rooftop,"5511 Cameron Rd",,"Austin, TX 78723",5511,"Cameron Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002105,1000,1,484530021051000,48453002105,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"5517 CAMERON ROAD Austin TX 78723",30.312908,-97.704346,1,rooftop,"5517 Cameron Rd",,"Austin, TX 78723",5517,"Cameron Rd",,,Austin,TX,"Travis County",78723,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002104,2006,2,484530021042006,48453002104,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"8602 F.M. 969 Austin TX 78724",30.276459,-97.636598,1,rooftop,"8602 Farm To Market Rd 969",,"Austin, TX 78724",8602,"Farm To Market Rd 969",,,Austin,TX,"Travis County",78724,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002211,1031,1,484530022111031,48453002211,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"12009 W HIGHWAY 290 Austin TX 78737",30.210999,-97.967817,1,rooftop,"12009 W US-290",,"Austin, TX 78737",12009,"W US-290",,,Austin,TX,"Travis County",78737,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,,,031100,1026,1,484530311001026,48453031100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Southwest Travis",93688,Z5,"A statistical county subdivision"
"1115 W LYNN ST Austin TX 78703",30.279987,-97.75901,1,rooftop,"1115 W Lynn St",,"Austin, TX 78703",1115,"W Lynn St",,,Austin,TX,"Travis County",78703,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001200,2008,2,484530012002008,48453001200,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4610 RR 620 N Austin TX 78732",30.389721,-97.890856,0.92,rooftop,"4610 N 620th Rd",,"Austin, TX 78732",4610,"N 620th Rd",,,Austin,TX,"Travis County",78732,US,"City of Austin (Public Domain)",2024,48,48453,Austin,4805000,035800,2057,2,484530358002057,48453035800,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"2238 E BEN WHITE BLVD Austin TX 78741",30.21558,-97.743778,1,range_interpolation,"2238 Ben White Blvd",,"Austin, TX 78741",2238,"Ben White Blvd",,,Austin,TX,"Travis County",78741,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,002411,1006,1,484530024111006,48453002411,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"11815 RANCH ROAD 620 N. STE 1 Austin TX 78750",30.455539,-97.825795,0.7,street_center,"Ranch Rd 620 N","Ste 1","Austin, TX 78750",,"Ranch Rd 620 N",Ste,1,Austin,TX,"Travis County",78750,US,"TIGER/Line® dataset from the US Census Bureau",2024,48,48453,Austin,4805000,035800,1002,1,484530358001002,48453035800,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northwest Travis",92857,Z5,"A statistical county subdivision"
"7216 W HIGHWAY 71 Austin TX 78735",30.236898,-97.877549,1,rooftop,"7216 W State Highway 71",,"Austin, TX 78735",7216,"W State Highway 71",,,Austin,TX,"Travis County",78735,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001920,1004,1,484530019201004,48453001920,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"120 E NORTH LOOP Austin TX 78751",30.31797,-97.721258,1,rooftop,"120 E North Loop Blvd",,"Austin, TX 78751",120,"E North Loop Blvd",,,Austin,TX,"Travis County",78751,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000305,3008,3,484530003053008,48453000305,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1600 OHLEN RD Austin TX 78758",30.364374,-97.715343,1,rooftop,"1600 Ohlen Rd",,"Austin, TX 78758",1600,"Ohlen Rd",,,Austin,TX,"Travis County",78758,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,040100,1000,1,484530401001000,48453040100,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"7200 MANCHACA RD Austin TX 78745",30.199964,-97.807338,1,range_interpolation,"7200 Manchaca Rd",,"Austin, TX 78745",7200,"Manchaca Rd",,,Austin,TX,"Travis County",78745,US,"TIGER/Line® from the US Census Bureau",2024,48,48453,Austin,4805000,030900,4008,4,484530309004008,48453030900,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"9411 DESSAU RD Austin TX 78754",30.351861,-97.674914,1,rooftop,"9411 Dessau Rd",,"Austin, TX 78754",9411,"Dessau Rd",,,Austin,TX,"Travis County",78754,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,043500,3040,3,484530435003040,48453043500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1130 AIRPORT BLVD Austin TX 78702",30.267685,-97.696532,1,rooftop,"1130 Airport Blvd",,"Austin, TX 78702",1130,"Airport Blvd",,,Austin,TX,"Travis County",78702,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,000801,1012,1,484530008011012,48453000801,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"915 W OLTORF ST Austin TX 78704",30.2434,-97.764289,1,rooftop,"915 W Oltorf St",,"Austin, TX 78704",915,"W Oltorf St",,,Austin,TX,"Travis County",78704,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001307,2000,2,484530013072000,48453001307,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"160 W. SLAUGHTER LANE STE 100 Austin TX 78748",30.167572,-97.791216,1,rooftop,"160 W Slaughter Ln","Ste 100","Austin, TX 78748",160,"W Slaughter Ln",Ste,100,Austin,TX,"Travis County",78748,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002437,3001,3,484530024373001,48453002437,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"10300 ANDERSON MILL RD Austin TX 78750",30.447491,-97.804421,1,rooftop,"10300 Anderson Mill Rd",,"Austin, TX 78750",10300,"Anderson Mill Rd",,,Austin,TX,"Williamson County",78750,US,"City of Round Rock",2024,48,48491,Austin,4805000,020405,3011,3,484910204053011,48491020405,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Round Rock-Georgetown",93343,Z5,"A statistical county subdivision"
"5800 S CONGRESS Austin TX 78745",30.203148,-97.775859,1,rooftop,"5800 S Congress Ave",,"Austin, TX 78745",5800,"S Congress Ave",,,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002444,2013,2,484530024442013,48453002444,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"4327 S 1ST ST STE 107 Austin TX 78745",30.221408,-97.772185,1,rooftop,"4327 S 1st St","Ste 107","Austin, TX 78745",4327,"S 1st St",Ste,107,Austin,TX,"Travis County",78745,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,002003,2005,2,484530020032005,48453002003,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"1200 N LAMAR BLVD Austin TX 78703",30.277169,-97.751518,1,rooftop,"1200 N Lamar Blvd",,"Austin, TX 78703",1200,"N Lamar Blvd",,,Austin,TX,"Travis County",78703,US,"Capcog (Capital Area Council of Governments)",2024,48,48453,Austin,4805000,001605,3017,3,484530016053017,48453001605,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,Austin,90165,Z5,"A statistical county subdivision"
"31 N I H 35 Austin TX 78702",30.50755,-97.685991,0.78,nearest_rooftop_match,"106 N I-35",,"Round Rock, TX 78681",106,"N I-35",,,"Round Rock",TX,"Williamson County",78681,US,"City of Round Rock",2024,48,48491,"Round Rock",4863500,020503,2004,2,484910205032004,48491020503,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Round Rock-Georgetown",93343,Z5,"A statistical county subdivision"
"13701 IH 35 NORTH Austin TX 78660",30.455677,-97.666435,0.7,street_center,I-35,,"Pflugerville, TX 78660",,I-35,,,Pflugerville,TX,"Travis County",78660,US,"OpenStreetMap Contributors",2024,48,48453,Austin,4805000,046500,2018,2,484530465002018,48453046500,"Austin-Round Rock-San Marcos, TX",12420,metropolitan,,,,,"Northeast Travis",92807,Z5,"A statistical county subdivision"
