License,Owner,Street,City,State,Zip,Lat,Lon
200112419,Texas Assn of REALTORS Political Action Committee,"13530 North Highway 183, Austin, TX, USA",Austin,TX,78750,30.141734,-97.832653
200099488,Play for Life Houston,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,St. Ignatius Martyr Catholic Church,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200179395,Austin New Church DBA The 04 Center,2701 S Lamar Blvd,Austin,TX,78704,30.141734,-97.832653
200159982,"Can-Tini Beverage Company, LLC",710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200161724,Leona Doss Elementary PTA,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200129075,Young Men's Christian Association of UT ,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200129075,Wine and Food Foundation of Texas,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200099488,St. Thomas More Catholic Church,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200144158,Balanced & Consistency.org,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200062195,Austin Child Guidance Center,810 W 45th St,Austin,TX,78751,30.26613,-97.751785
200129075,The Trail Conservancy,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200099488,Six Square-Austin's Black Cultural District,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,St. Elias Antiochian Orthodox Church ,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200070517,Austin Junior Forum,1404 West Ave,Austin,TX,78701,30.278955,-97.74771
200144158,Austin Pride Foundation,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200099488,Our Lady of Guadalupe Catholic Church,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200144158,Austin Parks Foundation,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200099488,St Paul Catholic Church,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200159982,CPATH TEXAS,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200152624,Texas Firewalkers,3223 E 7th St,Austin,TX,78702,30.266484,-97.740231
200076841,Austin Celtic Association,10621 Pioneer Farms Dr,Austin,TX,78754,30.369914,-97.659062
200144158,Big Medium,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200139103,Forage Forward Inc,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200161724,LEAP Life Essential Advancement Program,2425 Exposition Blvd,Austin,TX,78703,30.297464,-97.767146
200081167,"Asmbly Makerspace, Inc.",9701 Dessau Rd,Austin,TX,78754,30.26613,-97.751785
200099488,St. David's Episcopal Church,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200139103,HOPE Events LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200159982,Congregation Agudas Achim Austin,710 W Cesar Chavez St,Austin,TX,78701,30.337186,-97.75495
200129075,Thinkery,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200139103,East Austin Creative Coalition ,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
